OBJECTID,REG,DISTRICT,NAME,EMU_NAME,HARVTYPE,AREA_AC,AREA_KM,AREA_MI,DEERWEBPAGE,ELKWEBPAGE,Shape__Area,Shape__Length,GlobalID,MAPLINK
2981,3,370,370,Highland,Variable,118236,478.48429136,184.74381775,Coming Soon,Coming Soon,993082846.023438,143705.447443399,fa8cea9b-0ddc-4c52-a4c5-e8c0d74f165c,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd370.pdf
2982,5,590,590,Bull Mountain,Variable,1866620,7553.94169135,2916.59319291,Coming Soon,Coming Soon,15723599622.3438,584113.339141314,42167115-91c0-4bdc-9c28-ef81ab4e0da0,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd590.pdf
2983,3,316,316,Northern Yellowstone,Variable,298510,1208.02630503,466.42156401,Coming Soon,Coming Soon,2424577902.72656,338211.524159966,a6d87026-1658-4580-81db-27c2dc26d666,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd316.pdf
2984,4,448,448,Little Belts,Variable,245580,993.82828656,383.71924671,Coming Soon,Coming Soon,2130077195.02344,301326.144541802,478efb14-0366-41b5-9c77-aebde7d5b03b,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd448.pdf
2985,6,,FORT BELKNAP INDIAN RESERVATION,NA,Indian Reservation,622436,2518.91018062,972.55665804,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,5671271685.74219,474170.315918279,9d7ee9c2-4f2c-44e5-b7f6-968a0d1ece2f,
2986,7,702,702,Custer Forest,Variable,1766800,7149.98428439,2760.62436611,Coming Soon,Coming Soon,14833176138.6328,599604.527504946,fd34ed73-b4ef-434a-bea9-ce6b2e66a0e1,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd702.pdf
2987,6,650,650,Hi-Line,Variable,2259420,9143.54961182,3530.34424232,Coming Soon,Coming Soon,20267649253.7852,872226.399146239,f303efb4-f7ba-4742-9d49-251800a2de17,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd650.pdf
2988,4,,SUN RIVER GAME PRESERVE,Bob Marshall Wilderness Complex,No Harvest Allowed,199839,808.71777431,312.24767835,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,1783431438.39844,295048.981337359,23facace-57b7-4123-a622-14479a090745,
2989,7,,NORTHERN CHEYENNE INDIAN RESERVATION,NA,Indian Reservation,444927,1800.55647419,695.19874135,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,3671346241.21875,347587.284846261,9201025f-d743-48ac-b992-45994daa6370,
2990,5,,CROW INDIAN RESERVATION,NA,Indian Reservation,2290492,9269.29275744,3578.89394227,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,18794089015.9922,697929.0703465,a8a70bd4-e37b-4e7d-94e8-5a16322ca25f,
2991,6,,FORT PECK INDIAN RESERVATION,NA,Indian Reservation,2106078,8522.99568706,3290.74703245,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,19301539188.1328,905632.669120676,455f3d55-557a-407b-9b5b-1f9340e41268,
2992,3,,YELLOWSTONE NATIONAL PARK,NA,No Harvest Allowed,157642,637.95598779,246.31618397,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,1273129778.72656,472565.032040011,bb91c407-4b3f-4bab-9815-88cfd88dac4e,
2993,7,700,700,Missouri Rivers Breaks,Variable,1783068,7215.82200915,2786.04445375,Coming Soon,Coming Soon,15804701786.875,2222231.65380692,d72d78ad-c653-4bbb-ba03-9448b0e63a82,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd700.pdf
2994,1,170,170,North Swan-Flathead Valley,Variable,231589,937.20695853,361.85762974,Coming Soon,Coming Soon,2111107787.35938,357637.76526488,fdabb919-ff23-422b-8ebe-058094f24404,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd170.pdf
